t,u,theta,theta_rad,phi
6.99,35,0.2570769,0.2570769,36
7,35,0.6017348,0.6017348,36
7.01,35,0.9427376,0.9427376,36
7.02,35,1.278585,1.278585,36
7.03,35,1.602538,1.602538,36
7.04,35,1.916385,1.916385,36
7.05,35,2.215818,2.215818,36
7.06,35,2.497761,2.497761,36
7.07,35,2.765488,2.765488,36
7.08,35,3.017702,3.017702,36
7.09,35,3.250787,3.250787,36
7.1,35,3.460761,3.460761,36
7.11,35,3.642191,3.642191,36
7.12,35,3.806177,3.806177,36
7.13,35,3.950315,3.950315,36
7.14,35,4.066616,4.066616,36
7.15,35,4.148566,4.148566,36
7.16,35,4.206007,4.206007,36
7.17,35,4.237175,4.237175,36
7.18,35,4.246591,4.246591,36
7.19,35,4.228266,4.228266,36
7.2,35,4.186928,4.186928,36
7.21,35,4.120204,4.120204,36
7.22,35,4.03108,4.03108,36
